Optimizer,objfname,ExecutionTime,Individual,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
SSA,F5,1.9948630332946777,"[ 3.962205    3.17401622 -0.38243858  1.62767602 -1.96770106  1.51022403
  0.58370023 -0.57328697 -2.53653292  2.32088663  3.77402465  2.17246862
 -2.57372436  2.9502016  -2.50808741  2.06287097  1.75761998 -0.5311077
 -2.39091714  2.50758939  2.09191308 -0.36626515 -0.91723435  4.13762841
 -1.96623765 -1.09323381 -0.80173287  3.69906203  2.1848421  -5.10529966]",0.0,20075678.700292025,4630489.838512572,1747610.0682878443,1225511.909350004,1039009.6788990378,948842.3509012719,876596.8340269687,846181.9440839818,821114.7660845146,794346.6305359264,764740.2586487399,732354.9166253143,717384.9306660935,717384.9306660935,717384.9306660935,717384.9306660935,717384.9306660935,717384.9306660935,717384.9306660935,717384.9306660935,717384.9306660935,650404.7478723561,526073.586631548,391108.36515571125,307731.62750889914,268105.4120538748,228279.90212146877,201754.60297522848,179026.22238720008,163466.38618393664,156290.65589651716,150061.99305518463,147272.65101630276,144113.9314081123,142762.90960855328,141685.4088296015,141319.15090989898,141007.26381408193,140831.2828402566,140686.96873533333,140601.84050121,140568.40145343562,140532.71724543226,140517.10077518437,140507.05199545572,140503.06559394163,140499.43716003036,140498.528275404,140497.98547005514
SSA,F5,2.0146079063415527,"[-3.22664632  4.36770847  3.1059787   3.96938383  4.14365935 -2.38194414
  2.62512206 -0.47348914 -3.9003234   2.10689261  0.19679703 -2.72223356
  0.38044464 -3.19864691 -1.99522932  4.0889975  -0.13421833 -1.75081577
  3.67348423  2.18718184 -2.44232516 -3.57078044  2.48780504 -2.38369971
  2.85961036  1.05595244  3.36927822 -2.80587748 -3.55265422  8.00899069]",0.0,30607245.63941543,11386837.753304467,8208758.191072401,6216789.458357615,4769700.094567124,4417350.529168914,4417350.529168914,4417350.529168914,4417350.529168914,4417350.529168914,4417350.529168914,4417350.529168914,4417350.529168914,4417350.529168914,4417350.529168914,4417350.529168914,4417350.529168914,4164402.196775517,3016265.2133951173,1464565.717606032,1290305.456623373,1211769.9360180395,1086432.6854036856,721347.6790796473,502449.4572013093,376773.87464113685,336162.09993686085,308521.8314079443,285615.6791556459,276116.6181805326,269059.97991315374,260395.24091768888,256646.41390142095,253382.817247834,251214.88639214702,250358.81235362246,249519.9785546728,249218.09727546593,248954.40191080395,248782.3889762898,248663.88803012905,248568.5239858329,248536.21282388383,248513.37681746134,248503.55044173406,248497.5725024944,248493.6044125367,248491.57382995426,248490.9836381642
SSA,F12,2.241318464279175,"[-0.84873581  8.355942   -4.86119    -8.53608491 -9.78902106 -0.69147789
 -1.24076667  6.56806817 -5.80244527 -7.82493319 -8.5465883  10.18661526
 -0.97200206 -7.12832094  6.57762636  2.61955009 -5.44757931 -5.1957946
  6.08231899  7.24534886  6.85983304 -5.50639126  3.10454622 -3.28518112
 -2.0039409   6.47072638 -5.09959992 -4.5623461  -8.41549634 -9.0623538 ]",0.0,24853613.00540576,5307231.562637468,1561546.507402226,537040.7139071785,494930.6249120329,406751.3040863306,185017.49141384993,102574.8299900978,65140.071027143145,45358.27801261751,45358.27801261751,45358.27801261751,45358.27801261751,45358.27801261751,45358.27801261751,45358.27801261751,45358.27801261751,45358.27801261751,45358.27801261751,33602.203450783265,22911.76295506273,400.4522826057989,400.4522826057989,90.45188701704407,51.08637971665671,37.45977029576584,26.56931894932547,23.90698694743684,22.538198506571465,21.735845098039,19.800666237840378,18.902641717596502,18.283838878577217,17.42045340061288,17.196580533798112,17.065968224814654,16.914005072864526,16.836121173697567,16.78296058537638,16.761513908038463,16.74609105445165,16.736238672297407,16.730467138541137,16.727438346431743,16.72623490319667,16.725182585395626,16.72474437861448,16.72442220455454,16.724282386686433
SSA,F12,2.2181506156921387,"[-1.64036478 -6.87993688 -0.43601512  2.30546788 -0.00964741  2.24582835
 -4.94549276  3.86749905 -5.96388849 -8.99134315  7.23360955 -9.18069598
 -0.89840531  0.7701975   2.76572336  6.96285315 -4.88071919  4.04864262
 -0.67751069  1.30911599 -6.24124087  2.58898415  9.03814062  2.93963915
 -7.53639096 -5.42830017  6.59929423  7.3388576   6.73205851 -8.89894037]",0.0,28725125.206295673,1606008.0298419185,1606008.0298419185,1606008.0298419185,1049275.8733265786,741941.085365723,527508.7580284246,378699.15502153855,300881.9093885453,257485.4604681021,227230.50687896082,203024.06942985073,182812.70660869672,165758.8639169721,151365.4812970979,139240.45099522657,129046.63091851548,129046.63091851548,52070.18472323556,615.947874521594,615.947874521594,35.867351662237176,34.817946324751745,32.7921994621649,27.52320475122984,23.807958296754098,21.077586947810467,17.863097325853964,16.064273220044484,14.484690906405826,13.952353419279255,13.426634315245876,12.961178099353114,12.691908981664767,12.463638895707266,12.34874247609141,12.28305777576882,12.238528091470798,12.20966126135428,12.194591045008437,12.182765155109179,12.177414769829578,12.172927258492171,12.17087386475618,12.169802841018859,12.169246334722269,12.1688965726474,12.168700987702668,12.168619231509426
SSA,F12,2.257516622543335,"[ 8.52439851 -5.17523412  6.1226778  -0.16829445 -8.29509514 -0.39386984
 -4.65140601 -7.937863   -0.80515709  8.2606295  -4.98809143 -8.63562842
 10.21973276  7.14747896  6.8331525   2.89788852 -1.20605593  6.36572564
  7.70962107 -1.09171376  4.14100598  6.84637723  3.05699987 -7.26512459
  6.85300897 -9.66793567 -0.99860686  2.36298747 -4.50785166  3.63839346]",0.0,12299000.997530172,456170.8507000407,110503.66572079562,33758.577565105894,10045.971862834836,2071.7722044937022,574.0727566272775,108.1959121134697,95.16196806730292,49.87989070105879,49.87989070105879,49.87989070105879,49.87989070105879,49.87989070105879,49.87989070105879,49.87989070105879,49.87989070105879,49.87989070105879,49.87989070105879,49.87989070105879,49.87989070105879,49.87989070105879,42.82299979397602,34.75399562034571,28.36169985873379,28.36169985873379,28.36169985873379,24.058028873714544,22.234346410845184,19.14960663066446,18.73398787138076,18.09217606609212,17.96672019724402,17.54430150122164,17.287498659643216,17.08591099226772,16.9878792793468,16.92961718847928,16.878272986469625,16.86029331637745,16.84839380753787,16.842053907261036,16.83686422719126,16.834021345595293,16.833010604642787,16.832090853598558,16.831500468700018,16.831252183426376,16.831094564796167
SSA,F13,2.2828547954559326,"[ 2.61772314 -4.83238501 -4.34889316  7.56998989 -7.27066973  6.9184184
 -4.55515892 -1.49228075 -7.0017489  -2.99019814  5.38020257 -2.48846336
  6.14650265  6.91882143  7.77839108 -0.63471393  5.87263373  0.80668066
  4.36718765  7.52493529 -2.50990173 -2.49028755  7.2798284  -6.17450907
  5.84737273 -0.34454258 -5.93560654 -0.39296465 -1.09009659 -2.03410429]",0.0,50743053.80875264,13777513.133026082,10765144.91017399,6008010.191973495,5555462.207007504,5555462.207007504,5555462.207007504,5010210.463581888,4571285.50459767,4208969.1402449235,3720660.962454859,3382251.575642736,3104890.6621444356,2757383.492351579,2434419.0401135692,2126577.77169441,1873642.7641544384,1826979.316919947,1826979.316919947,1826979.316919947,1518882.9778148362,972504.566854125,686406.7381338959,290091.5222013375,167962.28474872067,111454.2743259131,73399.74968727019,48968.95706877426,41156.78508471501,32790.08085378902,29961.49988932017,28353.659146622464,27336.601654977465,26382.58429603616,25679.022846227545,25308.89258827174,25089.758151038586,24954.04937640573,24877.11742292553,24809.244061737038,24776.266769149464,24753.085492277838,24742.192734989494,24735.910412085625,24732.25336739011,24730.388325688073,24729.290555543284,24728.547383066492,24728.137350900954
SSA,F13,2.278442859649658,"[-6.92157987  0.38324995  6.20325828  3.64092786 -0.0342336   0.5076993
  7.4360939  -1.00008683 -7.86873856 -0.87669287 -1.33775559  7.18623882
  7.88257228  7.11379994  6.92426985  5.15109727 -1.73795952  4.91340978
 -2.84827767 -4.19110607  7.24397237 -7.12212666 -8.09757261  6.56597773
  2.79658492  1.63736243  5.44586202 -5.81558828  5.40771499 -2.91866371]",0.0,83665070.20112225,30610039.32507434,14120837.094789261,9498553.764584558,6774010.658491036,6310024.373641501,5722420.43033241,5229160.232952223,4826008.353241854,4523360.386519917,4282876.890563441,4075710.4400288365,3982895.030116946,3982895.030116946,3982895.030116946,3982895.030116946,3982895.030116946,3982895.030116946,2966273.677155652,1961501.231893779,1388951.946302547,1236090.0153250254,448469.5359737192,300476.4983923074,231734.91592532053,151809.86014736193,97951.62712372652,79274.03334359493,64549.71957544171,54456.44869808634,50571.1328695914,46718.363178265055,43435.41705377851,41226.41652175035,40307.34983980486,39913.94062674774,39547.94053516688,39259.03172232793,39177.69675864615,39102.05736129395,39042.55174841638,39005.18182545722,38993.87266747311,38984.17079425668,38979.86200323544,38976.68385823224,38974.75795460078,38973.57638900946,38973.110151064764
SSA,F13,2.2906367778778076,"[ 0.75207314 -8.9261269   0.51534931  8.66648181  6.44876498  2.05197509
 -7.94523143 -8.0884009  -4.0410317  -2.50216162 -7.2962761   8.61430286
  5.31650423 -7.75676565 -6.93423263  7.72943764  9.20347763 -1.78612421
 -4.82975297  2.19296208 -8.50065616  2.37825509 -5.4445156   0.72883183
 -7.32379994 -0.13393979  4.78426866 -9.13617784  8.40703131  5.10977798]",0.0,122199062.24638064,31756930.87353656,13252083.6936345,11965062.23201613,11023621.53261937,8751760.7974701,6750715.204463548,5640987.1640111,4803910.056789148,4161239.851909224,3655172.2843741267,3246748.6347302315,2907426.6897359462,2620169.5266430196,2620169.5266430196,2620169.5266430196,2620169.5266430196,2620169.5266430196,2620169.5266430196,2620169.5266430196,2182375.4765895847,2056955.0739545592,1575748.7684955762,745903.7166727285,494209.9539361481,400731.7519457381,348494.1644366287,307332.1584689463,261740.5973137727,236694.1748971122,217050.93554611312,203162.03503856173,194372.0582143398,190020.6437488999,188007.53149267362,186341.1714859319,185059.31583892062,184353.5352690915,184087.5405274478,183986.41773311023,183788.14984814846,183643.80895502868,183604.18767407298,183581.24212563163,183567.39849103257,183560.28925297805,183555.80573881054,183553.94644188206,183552.52065306323
PSO,F5,1.4240262508392334,"[-1.66470582  1.29710909  0.66911281 -1.04909861 -1.20146121  1.03859282
 -1.19414511 -1.12841609  2.22020395  2.32109668  1.81559978  0.97858146
 -0.57239312  0.33246052  0.53364211  1.33728473  0.13353843  0.38694019
 -0.05323162  0.41439826  0.30850515 -1.27639799 -0.6289874  -1.4876223
  2.21379775  2.07016993 -0.38040817  1.04827401 -0.84289722 -5.63348133]",203222121.6422291,112052323.11001387,44520733.677402206,9638898.81514494,3867284.602297829,3713997.272170576,2839906.8294762056,2839906.8294762056,2479706.201478922,1284576.8077152458,1284576.8077152458,1284576.8077152458,1048725.9733283983,920660.3219860756,791170.7722946317,681725.6002623908,680546.2505482074,680546.2505482074,652311.3422523917,652311.3422523917,484861.20644981536,444152.08516668365,390935.7605284725,270630.87425915926,270630.87425915926,242308.80230975384,242308.80230975384,242308.80230975384,154449.39854434208,154449.39854434208,143028.26986805152,110212.87191711293,110212.87191711293,110212.87191711293,74613.09407923394,74613.09407923394,74613.09407923394,37537.34323954341,37537.34323954341,37537.34323954341,37537.34323954341,37537.34323954341,31014.842853354807,24942.82395815868,23347.31996225374,22132.528685028243,20765.552494691103,16945.15325750986,14982.226405220848,14087.930660550344
PSO,F5,1.4192588329315186,"[ 0.10816235  1.77360292  1.528702    2.98453539  2.66310052  0.70347041
 -1.42692433 -0.40852885 -1.39469962  0.21636145  0.70185815  0.29112805
  0.83837155 -1.40670879  1.24261921 -1.01428112  1.50388188 -1.42247306
  1.67006128 -0.44522751  2.11074949  1.2448587  -0.4072265  -0.35147893
 -0.71371319 -0.3303607  -0.95985156  2.03718043 -3.12526588 10.18513212]",324740792.84124154,144259570.3737143,60786450.47597377,23559058.34806572,8697803.268343192,3755664.5384299965,3541111.529777191,3445899.425411524,2475229.027116825,2475229.027116825,2350162.578831365,1712424.0247079073,1564976.7447408237,1427405.3846214656,588454.9013002046,588454.9013002046,532228.8570434635,523872.5508518646,439349.9057830312,361034.28899918165,361034.28899918165,288399.6843135853,288399.6843135853,288399.6843135853,285405.686438691,229625.49589685522,208406.51367313595,208406.51367313595,208406.51367313595,180753.72653615332,135071.1673900628,135071.1673900628,126277.31058108291,105508.40999243302,105508.40999243302,90728.43238369332,67259.03105961884,67259.03105961884,66717.75531613252,57190.78862478006,54851.645584932055,54851.645584932055,54851.645584932055,50071.646745532926,49537.67479126363,49537.67479126363,43927.82978052792,29649.591278563214,29649.591278563214,21369.876018076335
