Optimizer,objfname,ExecutionTime,Individual,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12
SSA,F13,0.5227298736572266,"[  1.1311947  -11.30928289  -6.20770532   4.78604337  -8.51038428
  12.6347362   -1.20892416   0.79807261  -1.29238243   2.54260708
   9.22569773  -4.42406622  -8.18233108   1.36926447  -3.27550966
   8.94542871 -11.50495757   9.42788116 -12.61202354   3.38557137
  -0.96652222   3.04674261  13.70209951  -6.61158103   3.42054079
  -4.84938773   8.15791509   4.60462852   7.03854283  -5.98219263]",0.0,99632143.08270417,14007527.95894025,13523395.423703354,9064204.733260687,6555741.206416193,4354037.920964228,3971362.1153285024,3919907.9264782798,3610652.64897468,1719409.5325430657,1719344.1320328303
SSA,F13,0.5234320163726807,"[  2.7285121   -7.58915734   4.70466765  -2.69432617 -10.65251353
   3.3670221   -5.29777304  -6.62961017  -4.3797616    7.18334818
  -1.10932645  -9.5510677    5.23376047   3.37755556   6.99712685
  -1.96081941   1.60934176   9.38226123  10.1775499    1.97207948
   0.69763599   5.24903734  -1.86274089  -8.0793232    4.76426704
  -9.42299101  -0.09484018   3.00153836  -3.0509886   -0.23265612]",0.0,56718385.421784095,7947424.277961283,3884969.3228285103,1915033.4823251788,1159256.6147792593,711512.5641864808,520681.3929080276,423164.8802712724,342918.0194537821,328871.24848494615,310195.58016339556
PSO,F5,0.22826242446899414,"[  5.46691886   2.59530352  -1.45777011  -6.97659163  -5.68166598
   1.37182727   0.42930901   6.79431188   3.32710167   3.28881849
  -4.87049751   3.9905635   -2.83086178   2.37787675  -6.28527228
  -3.67052918  -1.70289575  -7.2818672    5.51635172  -4.15979213
   4.45567928   7.15657056   1.46584304   4.30233579  -1.91356439
   0.91142868  -3.70701538   4.73425978  -1.24245068 -18.71390304]",290419595.24783236,159638009.7098054,68171864.04402924,16815413.98041578,13144578.246619057,7124792.673868016,6432997.948213538,5236631.701595018,5126463.72988818,2432704.1823402788,2033441.191572397,1786691.5134786693
PSO,F5,0.22904586791992188,"[-3.61463516 -2.12561773  4.74569731  2.50392653  3.7399543  -4.44490714
 -2.61852137 -2.44816746  2.97958334 -1.57758603 -2.54062139  3.191746
 -0.26732784 -2.41251943  0.25882829 -2.1519485   3.65641201  4.66286429
 -3.50820154  3.39934709  1.10629233  5.67187958 -2.85224018 -2.5509124
  3.94693575  2.13197264 -0.4647969  -8.12796688  5.25847914 -4.44736184]",280773395.4988076,120022552.4723703,54461954.509816684,15855961.188542632,5797511.725191518,3162623.143403092,3162623.143403092,3162623.143403092,3162623.143403092,2041798.5993362134,1100164.6363974877,914745.2710291195
PSO,F12,0.253509521484375,"[-10.24878544  10.79951903  -0.620571    -2.17154954  -4.99105541
   3.05562841 -10.03969527  -9.9925008   -4.46929058   7.75932987
  -6.1827068    1.17604124   7.72865792   0.04510467  -6.4516998
  -9.02388873   0.80357256   2.68766681  -4.74654855  -9.01670102
   7.21411448  -7.7759919  -11.60067474   4.02981963  -4.7149727
   3.47201532  -5.17832887  -6.47067586   3.34829471   5.60361864]",888555983.8694413,424258159.78183186,239674224.3360826,91917497.67293367,25751065.617896095,5892962.930584354,1028804.8464934268,213868.22682991155,69392.30352084027,26299.336863111683,9663.710999425928,735.1226541561778
PSO,F12,0.25503015518188477,"[ 3.57355103  7.56776076 -5.10734304 -8.77909023  7.10727178  7.02531263
 -3.87037782  5.51103873 -5.71617339  2.82988953 -1.95414035 -4.14840478
 -4.65172963  4.97107931 -1.11747783  6.00645051 -1.34175663 -3.28765144
 -2.45589088  2.65870688  4.31565307  3.03197383 -1.40944858  7.60226122
  5.60195846  7.42674953 -5.35416803 -0.14759883  9.12551922  7.86338635]",602083538.9806502,378124815.3662795,181016130.29502377,68997806.39084569,18690979.152411263,3735942.5996010075,372186.31889101036,24833.100421525432,50.455412804286524,50.455412804286524,35.68369238916548,20.949141280904964
PSO,F13,0.26355981826782227,"[-9.64098282e+00  9.97230633e+00 -8.13357908e-01  4.89130925e-03
  6.20636349e+00  1.52841579e+00 -5.54194896e+00  5.45776850e+00
 -4.60201557e+00  1.36415569e+00  2.02249771e+00 -5.79819718e+00
  4.28633149e+00 -6.49456888e+00  7.54880865e+00 -2.72567302e+00
  1.41412168e+00  1.33674787e-01 -8.74227168e+00 -2.65112290e+00
  3.42875243e+00  6.00627040e+00  5.75696874e+00 -8.09280634e+00
 -1.86585563e+00 -6.84604110e+00  7.01531643e+00 -1.05395861e+00
  8.44426686e+00  3.31925370e+00]",1292811980.2628388,759459472.4417332,397042652.9837117,181602921.31730908,89615283.60835578,21053889.87690554,6233478.301255964,680455.3011318848,283811.9137070795,208031.93836628328,176653.3800614156,158413.8938822055
PSO,F13,0.2630796432495117,"[  4.50851012  -1.83160489  -4.07060419   4.04373502  -4.4055351
   8.03473859   0.99967518  -0.88804592  -6.28118527   5.75974232
  -4.19838889  -7.35802534   7.46063108   7.00510393  -1.59882819
  -9.12506866  -2.56958473   0.12694815   5.76990927  10.18828938
  -9.43293176  -5.93406945  -0.46470907  -3.51611074   6.33028887
   4.36224271 -10.31382346   1.1727624    7.76215188  -1.31912843]",758811404.6832534,684504224.6639059,427045464.94874775,188998285.585218,79580602.13782907,17787731.746059727,4287890.060913249,1735914.3013517426,582308.0507513117,476561.8696656858,337258.8905146802,243320.31342875413
GWO,F5,0.24405312538146973,"[ 5.23540502  7.5278253   3.38247826 -6.30832577 -3.88370283 -6.66682315
 -2.49425051 -2.9972656   2.16987672  3.52627232 -6.24888466  5.64982482
 -6.78377001 -4.09999591  0.73947753  6.86991567 -3.31926051 -5.57491956
  1.75333018 -1.7008835   3.43370392  6.12555518  1.1742861   0.1232029
 -4.40269324 -2.29960887  4.21993738  4.39422739  3.50591766 -4.35623047]",290419595.24783236,270075142.5587696,89626661.37087756,70895361.56622545,41255447.84017018,23771119.059956327,10205058.542968389,5458163.561313321,3846555.137420842,2552505.8076590244,2357373.851488124,2030834.1833265265
GWO,F5,0.24104881286621094,"[ -8.84584312  -9.11404896   8.62593431  -6.09236791   5.65261087
   3.84749756  -8.36249852  -7.54164073   4.97537006  -5.38630828
   0.43034811  10.77585495  -9.97074163   5.16336989  -1.44771942
  -0.46662378  -6.8603092    9.71451781  -2.00778812   2.18971418
   8.61072497  -1.37160586   4.33078127   4.60355508  -7.13352923
   2.7626702   -4.84773857 -10.199748     3.36851874  -9.11744533]",280773395.4988076,176314798.23530304,153782713.02595764,73979666.51843497,46657252.679885365,42473476.08439668,30420083.30532712,21203677.03979844,15492047.783566687,11225518.775399216,10079984.523921004,8971833.979065375
